en;ru;uk;translation_key;output_channel
Saving template;Сохранение шаблона;Сохранение шаблона;template_saving;W
Fill message template for channel;Заполните шаблон сообщения для канала;Заполните шаблон сообщения для канала;notificationtype_messagetextempty;W
Save;Сохранить;Сохранить;common_updateDocument;W
Client's exposed order;Выставленные клиентам счета;Выставленные клиентам счета;manager_exposedOrder;W
Planned balance;Плановый остаток;Плановый остаток;common_planBalance;W
Password doesn't match password policy;Комбинация символов не соответствует парольной политике;Комбинация символов не соответствует парольной политике;passPolicy;W
Password constraints more than 2 sequence characters;Не более 2-х повторяющихся подряд символов;Не более 2-х повторяющихся подряд символов;passSequence;W
Password constraints more than 2 sequence characters;Не более 2-х последовательных символов;Не более 2-х последовательных символов;passSeq2;W
translation for type document;Переводы для тип заявления;Переводы для тип заявления;translation_for_type_document;W
User id;Идентификатор пользователя;Идентификатор пользователя;events_login;W
Clear orders settings;Удалить настройки виджетов;Удалить настройки виджетов;clear_orders_settings;W
Mailing groups;Группы рассылки;Группы рассылки;mailing_groups;W
Correspondence;Почтовая переписка;Почтовая переписка;mailing_correspondence;W
Mass mailing;Массовая рассылка;Массовая рассылка;mass_mailing;W
View/Edit;Просмотр/Редактирование;Просмотр/Редактирование;letter_view_edit;W
Sender name;Наименование отправителя;Наименование отправителя;sender_name;W
Sender account;Счет отправителя;Счет отправителя;sender_acc;W
Receiver name;Наименование получателя;Наименование получателя;receiver_name;W
External ID;ID клиента АБС;ID клиента АБС;abs_client_id;W
Should not contain;Не должно содержать;Не должно содержать;should_not_contain;W
All types;Все типы;Все типы;common_allTypes;W
Birth place;Место рождения;Место рождения;person_birth_place;W
Passport Number;Номер паспорта;Номер паспорта;person_passport_number;W
Passport Start date;Дата начала действия пасспорта;Дата начала действия пасспорта;person_passport_start_date;W
Passport End date;Дата окончания действия пасспорта;Дата окончания действия пасспорта;person_passport_end_date;W
Passport Place issue;Место выдачи пасспорта;Место выдачи пасспорта;place_passport_issue;W
Gender;Пол;Пол;gender;W
Add Category;Добавить категорию;Добавить категорию;provider_service_add_category;W
Category of services;Категории услуг;Категории услуг;provider_service_categories;W
Name;Наименование;Наименование;provider_service_name;W
Full name;Полное наименование;Полное наименование;provider_service_full_name;W
Code;Код;Код;provider_service_full_code;W
Upper category;Категория верхнего уровня;Категория верхнего уровня;provider_service_upper_category;W
Payment services;Платежные услуги;Платежные услуги;provider_service_payment_services;W
View Payment services;Просмотр Платежных услуг;Просмотр Платежных услуг;provider_service_payment_services_view;W
Edit Payment services;Редактирование Платежных услуг;Редактирование услуги;m_provider_service_edit;W
Service Provider;Агрегаторы услуг;Агрегаторы услуг;provider_service_providers;W
Add Provider;Добавить Агрегатор;Добавить Агрегатор;provider_service_add_provider;W
Services;Услуги;Услуги;provider_service_services;W
Add Service;Добавить услугу;Добавить услугу;provider_service_add_service;W
Field type;Тип поля;Тип поля;provider_service_field_type;W
Reference to dictionary;Ссылка на справочник;Ссылка на справочник;provider_service_ref_to_dict;W
Provider name;Название провайдера;Название провайдера;provider_service_provider_name;W
Add field;Добавить поле;Добавить поле;provider_service_add_field;W
Export to MT;Экспорт в МТ;Экспорт в МТ;export_mt;W
Export in MT format (documents):;Експортировано в формате МТ (документов):;Експортировано в формате МТ (документов):;export_mt_result;W
Information;Информация;Информация;navigation_infoAndSuggestions;W
Other operations;Прочие операции;Прочие операции;navigation_otherTransactions;W
International transfers;Перевод валюты;Перевод валюты;navigation_intTransfers;W
Invoices;Счета на оплату;Счета на оплату;navigation_invoices;W
Accounts and products;Счета и продукты;Счета и продукты;navigation_p_person_products;W
In national currency;В национальной валюте;У національній валюті;navigation_p_person_domTransfer;W
In currency;В валюте;В валюте;navigation_p_person_intTransfer;W
Transfers between own account;Между своими счетами;Между своими счетами;navigation_p_person_accountTransfer;W
Card transfers;Переводы между картами;Переводы между картами;navigation_p_person_p2p;W
To editing;Редактировать;Редактировать;action_toDraft;W
Send for signature;На подпись;На подпись;action_sendForSignature;W
symbols;символов;символов;common_symbolsForLength;W
Length;Поле должно быть;Поле должно быть;common_length;W
Beneficiary account number and bank code could not be empty.;Номер счета и код банка плательщика не могут быть пустыми.;Номер счета и код банка плательщика не могут быть пустыми.;error_acc_number_bik_not_null;W
Account number and amount could not be empty.;Номер счета плательщика и сумма платежа не могут быть пустыми;Номер счета плательщика и сумма платежа не могут быть пустыми;error_acc_number_amount_not_null;W
5-7 account symbols must be -;5-7 символы счета должны быть -;5-7 символы счета должны быть -;account_error_string2;W
The specified beneficiary account does not correspond to the selected bank. Bank code;Указанный счет получателя не соответствует выбранному банку. Код банка;Указанный счет получателя не соответствует выбранному банку. Код банка;account_error_string1;W
Show;Показать;Показать;common_show;W
Client;Клиенты;Клиенты;clients;W
Активен;Активен;Активен;organization.grid.active;W
Opened;Открытый;Открытый;common_active;W
Current accounts;Текущие счета;Ағымдағы шоттар;current_accounts;W
Cash Flow;Финансовая динамика;Финансовая динамика;graph_title;W
Year;За год;За год;graph_periodType_year;W
Quarter;За квартал;За квартал;graph_periodType_quarter;W
Month;За месяц;За месяц;graph_periodType_month;W
Balance;Остаток;Остаток;graph_dataType_balance;W
Credit;Приходы;Приходы;graph_dataType_credit;W
Debet;Расходы;Расходы;graph_dataType_debet;W
Domestic Payments;Платежи в нац. валюте;Платежи в нац. валюте;navigation_payments_expo;W
Conversions;Конвертации;Конвертации;navigation_conversion_expo;W
Welcome;Добро пожаловать;Добро пожаловать;welcome;W
IIN;ИИН;ИИН;paymentOrder_payerCode_expo;W
Debit details;Реквизиты продажи;Реквизиты продажи;document_conversionDebitDetails;W
Credit details;Реквизиты  покупки;Реквизиты  покупки;document_conversionCreditDetails;W
Beneficiary details;Детали бенефициара;Детали бенефициара;paymentOrder_beneficiary;W
Internal payments;Внутренние платежи;Внутренние платежи;document_transfer;W
The total length of the following Recipient fields;Суммарная длина следующих полей Получателя;Суммарная длина следующих полей Получателя;field_total_length;W
should not exceed 140 chars;не должна превышать 140 символов;не должна превышать 140 символов;should_not_exceed_140;W
Support contacts;Контакты службы клиентской поддержки:;Контакты службы клиентской поддержки:;support_contacts;W
Account transfer;Перевод между своими счетами / Конвертация валюты;Перевод между своими счетами / Конвертация валюты;paymentOrder_addNewAccountTransfer;W
Opened;Открытый;Открытый;common_opened;W
Your personal manager;Ваш персональный менеджер;Ваш персональный менеджер;personal_manager;W
Search by beneficiary's details;Поиск по реквизитам получателя;Поиск по реквизитам получателя;search_benefDetails;W
Password change;Изменение пароля;Тіркеу сәтті өтті;personal_changingPass;W
Validation for red balance;Проверка на красный баланс;Проверка на красный баланс;valid_redBalance;W
Количество дней после создания документа на протяжении которого его можна подписать;Количество дней после создания документа на протяжении которого его можна подписать;Количество дней после создания документа на протяжении которого его можна подписать;valid_maxPeriodForDocumentExecution;W
Max amount for one payment (hrn.);Максимальная сумма по одному платежу (грн.);Максимальная сумма по одному платежу (грн.);valid_maxAmountPerOperation;W
Max payments amount for day (hrn.);Максимальная сумма по платежам за день (грн.);Максимальная сумма по платежам за день (грн.);valid_maxAmountPerDay;W
Max payments amount for month (hrn.);Максимальная сумма по платежам за месяц (грн.);Максимальная сумма по платежам за месяц (грн.);valid_maxAmountPerMonth;W
Validation for unique main fields;Проверка на уникальность по основным полям;Проверка на уникальность по основным полям;valid_uniqueMainFields;W
Validate account for  digital bank code;Проверка на соответсвие счета цифровому кода банка;Проверка на соответсвие счета цифровому кода банка;valid_validateAccountByBankCode;W
Edit the letter;Редактировать письмо;Редактировать письмо;letter_edit;W
Reply letter;Ответить на письмо;Ответить на письмо;letter_reply;W
View letter chain;Просмотр переписки;Просмотр переписки;letter_chain_view;W
Sent to bank;Отправить в банк;Отправить в банк;action_sentToBank;W
Confirm by;Подтвердить;Подтвердить;confirmation_title;W
eSign;ЭЦП;ЭЦП;login_factor_Signature;W
Create exposed order;Выставление нового счета;Выставление нового счета;invoice_createNew;W
Информация;Информация;Information;page_expose_orders_information;W
Show closed cards;Показать закрытые карты;Показать закрытые карты;showClosedCards;W
View and edit invoice;Просмотр/редактирование;Просмотр/редактирование;invoice_edit;W
Loan term;Срок займа;Срок займа;loanTerm;W
 months; месяца; месяца;months;W
Conversion;Конвертация валюты;Конвертация валюты;document_conversion;W
Name;Наименование;Наименование;constraint_name;W
Type;Тип;Тип;constraint_type;W
Value;Значение;Значение;constraint_value;W
Is required;Признак обязательности;Признак обязательности;constraint_isRequired;W
Error text;Текст ошибки;Текст ошибки;constraint_error;W
Validations;Валидации полей;Валидации полей;constraint_validations;W
Enable;Включена;Включена;constraint_true;W
Disable;Отключена;Отключена;constraint_false;W
Warning;Предупреждение;Предупреждение;constraint_warn;W
Mandatory field;Обязательное поле;Обязательное поле;constraint_required_field;W
Max length;Максимальная длина поля;Максимальная длина поля;constraint_max_length;W
Min length;Минимальная длина поля;Минимальная длина поля;constraint_min_length;W
Length;Длина поля;Длина поля;constraint_length;W
Regular expression;Регулярное выражение;Регулярное выражение;constraint_regexp;W
Iban account validation;Iban валидация счета;Iban валидация счета;constraint_iban;W
Tax number validation;Валидация налогового номера;Валидация налогового номера;constraint_tax_number;W
Amount not null;Сумма не должна быть 0;Сумма не должна быть 0;constraint_amount_not_null;W
Check in database;Проверка в базе данных;Проверка в базе данных;constraint_check_db;W
Check account for belonging to user;Проверка счета на принадлежность юзеру;Проверка счета на принадлежность юзеру;constraint_check_acc;W
Control vat;Контроль НДС;Контроль НДС;constraint_vat;W
Check value date;Проверка даты платежа;Проверка даты платежа;constraint_value_date;W
Common document validation;Общая валидация документа;Общая валидация документа;constraint_global;W
Document fields validation;Валидация полей документа;Валидация полей документа;constraint_fields_validation;W
Employee fields validation;Валидация полей сотрудников;Валидация полей сотрудников;constraint_employee_validation;W
Handbook of KBE;Справочник КБЕ;Справочник КБЕ;constraint_db_residencyCodes;W
Handbook of budget codes;Справочник бюджетных кодов;Справочник бюджетных кодов;constraint_db_budgetCodes;W
Handbook of employee transfer categories;Справочник типов отчислений сотрудникам;Справочник типов отчислений сотрудникам;constraint_db_employeeTransferCategories;W
Handbook of Fee type;Справочник типов комисий;Справочник типов комисий;constraint_db_feeType;W
Handbook of countries;Справочник стран;Справочник стран;constraint_db_countries;W
Handbook of banks;Справочник банков;Справочник банков;constraint_db_bank;W
Handbook of local banks;Справочник локальных банков;Справочник локальных банков;constraint_db_localBanks;W
Handbook of currencies;Справочник валют;Справочник валют;constraint_db_currency;W
Yes;Да;Иә;common_yes;W
No;Нет;Жоқ;common_no;W
Individual privilegies;Индивидуальные привилегии;Индивидуальные привилегии;companyperson_indprivileges;W
Collapse;Свернуть;Свернуть;common_collapse;W
Expand;Развернуть;Развернуть;common_expand;W
Service point status;Состояние отделения; Состояние отделения;service_point_status;W
Open;Открыто;Открыто;service_point_open;W
Closed;Закрыто;Закрыто;service_point_closed;W
New currency;Создание новой Валюты;Создание новой Валюты;currency_newcurrency;W
Currency editor;Обновление Валюты;Обновление Валюты;currency_currencyeditor;W
Id;Ид;Ид;common_short_id;W
Non blocked;Не блокирован;Не блокирован;common_nonBlocked;W
Organization status;Статус организации;Статус организации;common.organization.status;W
Payment for services;Оплата услуг;Оплата услуг;payment_service_view;W
Jobs;Задачи;Задачи;navigation_tasks;W
View payment order;Просмотр платежного поручения;Просмотр платежного поручения;paymentOrder_view;W
View all rates;Посмотреть все курсы;Посмотреть все курсы;err_all_rates;W
SMS;SMS;SMS;login_factor_SMS;W
Debit details;Реквизиты списания;Реквизиты списания;document_transferDebitDetails;W
Credit details;Реквизиты  зачисления;Реквизиты  покупки зачисления;document_transferCreditDetails;W
Tax code;ИНН;ИНН;common_tax_code;W
Create Category;Создать категорию;Создать категорию;provider_service_create_category;W
Edit Category;Редактировать категорию;Редактировать категорию;provider_service_edit_category;W
Create Provider;Создать Агрегатор;Создать Агрегатор;provider_service_create_provider;W
Edit Provider;Редактировать Агрегатор;Редактировать Агрегатор;provider_service_edit_provider;W
Organization tax code;ИИН/БИН Организации;ИИН/БИН Организации;common_organization_tax_code;W
Card does not supported;Карта не потдержуется;Карта не потдержуется;error_card_does_not_supported;W
View/edit template of card transfer;Просмотр/редактирование шаблона перевода между картами;Просмотр/редактирование шаблона перевода между картами;view_edit_template_card_transfer;W
Create card transfer;Создание перевода между картами;Создание перевода между картами;create_card_transfer;W
Create template of card transfer;Создание шаблона перевода между картами;Создание шаблона перевода между картами;Create_template_card_transfer;W
View/edit card transfer;Просмотр/редактирование перевода между картами;Просмотр/редактирование перевода между картами;view_edit_card_transfer;W
A Letter type;Тип письма;Тип письма;letterType;W
View \ Edit International Template;Просмотр \ Редактирование  Шаблона международного платежа;View \ Edit International Template;intTransfer_EditTemplate;W
create International transfer Template;Создание Шаблона международного платежа;Создание Шаблона международного платежа;intTransfer_createTemplate;W
Action was taken;Выполнено действие;Выполнено действие;didAction;W
documents;документами;документами;documents1;W
documents;документов;документов;documents2;W
on;над;над;on;W
Changing email;Изменение email;Изменение email;personal_changingEmail;W
Contract amount;Сумма контракта;Сумма контракта;common_contractAmount;W
Search by receiver;Поиск по получателю;Поиск по получателю;search_receiver_asia;W
Type;Тип;Тип;account_type;W
Registry;Реестр;Реестр;common_list_of_employees;W
Issue date;Дата выпуска;Дата выпуска;issueDate;W
Blocked sum;Заблокированная сумма;Заблокированная сумма;blockedSum;W
Delete document?;Удалить документ?;Удалить документ?;delete_document_title;W
Type;Тип;Тип;account_type;W
Account transfer;Перевод между счетами;Перевод между счетами;DocType_AccountTransfer;W
Domestic transfer;Платеж в национальной валюте;Платеж в национальной валюте;DocType_DomesticTransfer;W
International transfer;Международный платеж;Международный платеж;DocType_InternationalTransfer;W
Document withdraw;Отзыв документа;Отзыв документа;DocType_DocumentWithdraw;W
Exposed order;Выставленные мной счета;Выставленные мной счета;DocType_ExposedOrder;W
Demand;Заявление;Заявление;DocType_Demand;W
Payment order;Платёжное поручение;Платёжное поручение;DocumentSubType_PaymentOrder;W
Payroll;Зарплатное отчисление;Зарплатное отчисление;DocumentSubType_Payroll;W
Pension contribution;Пенсионное отчисление;Пенсионное отчисление;DocumentSubType_PensionContribution;W
Social contribution;Социальное отчисление;Социальное отчисление;DocumentSubType_SocialContribution;W
P2P;Карточный перевод;Карточный перевод;DocumentSubType_P2P;W
Email cannot be empty;Электронная почта не может быть пуста;Электрондық пошта бос болуы мүмкін емес;email_cant_be_empty;W
Incorrect email. use email like: jack@gmail.com;Недействительный емейл адрес . Используйте емейл вида: jack@gmail.com;Электрондық пошта дұрыс емес. jack@gmail.com сияқты электрондық поштаны пайдаланыңыз;email_dont_match_regex;W
Phone cannot be empty;Телефон не может быть пустым;Телефон бос болуы мүмкін емес;phone_cant_be_empty;W
Incorrect phone. Use the phone like: +38 097 777 7777;Неверный телефон. Используйте телефон вида: +38 097 777 7777;Неверный телефон. Телефонды пайдалану: +38 097 777 7777;phone_dont_match_regex;W
Countries;Страны;Страны;common_countries;W
publish;Опубликовать;Опубликовать;common_publish;W
Account/card receiver;Счет/карта зачисления;Есептік жазба / тіркеу карточкасы;credit_card_acc_grid_column;W
Account/card payer;Счет/карта списания;Есептік жазба / карта;debit_card_acc_grid_column;W
New password could not match previous %d ones;Новый пароль не может соответствовать предыдущим %d паролям;Жаңа құпия сөз бұрынғы %d парольдеріне сәйкес келмейді;passHistoryPolicy;W
Documents commission;Комисия по платежным документам;Комисия по платежным документам;commission_documents;W
Calculate commission in banks ABS;Расчет комисии в АБС банка;Расчет комисии в АБС банка;commission_calculate_in_abs;W
Logo not found;Логотип не найден;Логотип не найден;commission_logo_not_found;W
Logo file name;Имя файла логотипа;Имя файла логотипа;commission_logo_file_name;W
This letter has already taken in work;Это письмо уже взято в работу;Это письмо уже взято в работу;common_letter_blocked;W
Maximum letter body length - 2000!;Максимальная длина - 2000!;Максимальная длина - 2000!;letter.validation.company.description.max.length;W
Company person id is not present;Company person id is not present;Company person id is not present;letter.validation.company.person;W
Letter body can not be empty;Текст письма не может быть пустым;Текст письма не может быть пустым;letter.validation.company.description;W
Edit Category;Редактировать Категорию;Редактировать Категорию;CodeCategory_EditCategory;W
Reason of blocking;Причина блокировки;Бұғаттау себебі;blocked_reason;W
Unblock reason;Причина разблокировки;Причина разблокировки;unblock_reason;W
Place ID;ИД города;Қала коды;place_id;W
Custom request;Заявка;Заявка;job_EXPORT_CUSTOM_REQUEST;W
Custom request state check;Проверка статусов заявок;Проверка статусов заявок;job_CUSTOM_REQUEST_STATE_CHANGED;W
Max length 60;Длина не должна превышать 60 символов;Длина не должна превышать 60 символов;validation.maxLength60;W
Field could not be empty;Поле не может быть пустым;Поле не может быть пустым;validation.notEmpty;W
Server-side validation error;Ошибка валидации на стороне сервера;Сервер тарапынан тексеру қатесі;default_backend_validation_error;W
Request;Запрос;Запрос;common.request;W
Save;Сохранить;Сохранить;common.save;W
Import new client;Импорт нового клиента;Импорт нового клиента;organizationsCreate_import;W
Status in DB;Статус в базе;Статус в базе;common_status_in_db;W
Wrong document type;Неправильный тип документа;Неправильный тип документа;wrongDocumentType;W
Default;По умолчанию;Әдепкі бойынша;common_default;W
Customer with such externalId already existed in DB;Организация с таким externalId уже существует в базе;Организация с таким externalId уже существует в базе;customer.validation.externalId;W
You don't have enough privileges for this action;У вас недостаточно прав для этой операции;У вас недостаточно прав для этой операции;error.accessDenied;W
Download;Загрузить;Загрузить;common_download;W
Choose certificate;Выберите сертификат;Выберите сертификат;login_choose_certificate;W
Expiration time;Срок действия;Срок действия;login_expiration_time;W
No keys available;Нет доступных ключей;Нет доступных ключей;login_no_keys;W
There is no certificate in your key;В вашем ключе отсутствует сертификат;В вашем ключе отсутствует сертификат;login_no_keys_in_cert;W
Do you want to save the certificate on token?;Желаете сохранить сертификат на токен?;Желаете сохранить сертификат на токен?;common_is_save_cert;W
Failed to save certificate;Не удалось сохранить сертификат;Не удалось сохранить сертификат;login_failed_save_cert;W
Enter the password for the storage;Введите пароль на хранилище;Введите пароль на хранилище;login_enter_password;W
The certificate was saved successfully. Enter the password for the storage;Сертификат сохранен успешно. Введите пароль на хранилище;Сертификат сохранен успешно. Введите пароль на хранилище;login_saved_enter_pass;W
Log;Журнал;Журнал;navigation_requests_title;W
Communication with clients;Коммуникации с клиентами;Коммуникации с клиентами;navigation_clients_communication;W
User settings;Настройка пользователей;Настройка пользователей;navigation_users_settings;W
Is job active;Задача активна;Тапсырма белсенді;jobs.isActive;W
Manager;Менеджер;Менеджер;letter.chat.manager;W
Customer;Клиент;Клиент;letter.chat.customer;W

Functionality is under development;Функционал в разработке;Функционал әзірлену үстінде;functionality_is_under_development;W
Notify on new letters;Уведомлять о новых сообщениях от пользователей;Пайдаланушылардың жаңа хабарламалары туралы хабарлаңыз;email_notification_on_new_letters;W
Processing...;Обработка...;Обработка...;common_await;W
Min length;Поле должно быть не меньше;Поле должно быть не меньше;common_minLength;W
Set active/not active;Сделать активным/неактивным;Белсенді / белсенді емес етіп жасаңыз;jobs.setActivity;W
Actions with news;Действия с новостью;Действия с новостью;actions_with_news;W
Client;Клиент;Клиент;events_client;W
Block;Блокировать;Блокировать;common_block;W
Unblock;Разблокировать;Разблокировать;common_unblock;W
Valid;Валидный;Валидный;key_ok;W
Not for document signing;Не для подписания документов;Не для подписания документов;key_not_for_sign;W
Unknown;Неизвестный;Неизвестный;key_unknown;W
Inactive;Неактивен;Неактивен;key_inactive;W
Too early for signing;Рано для подписания;Рано для подписания;key_too_early;W
Revoked;Отозваный;Отозваный;key_revoked;W
Password expiration (min);Время жизни пароля (мин);Время жизни пароля (мин);key_expired;W
Confirm job deletion?;Подтвердить удаление джоба?;Тапсырманы жоюды растау керек пе?;jobs.delete.confirmation;W
Error during job deletions;Ошибка при удалении джоба;Тапсырманы жою кезінде қате;jobs.delete.error;W
The application for cash in the cash desk is submitted for one working day (transaction day). In the absence of an application, an additional fee of 0.10% of the issued amount is withdrawn.;Заявление на получение наличности в кассе подается за один рабочий (операционный день). В случае отсутствия заявки снимается дополнительная комиссия в размере 0.10% от выдаваемой суммы.;Заявление на получение наличности в кассе подается за один рабочий (операционный день). В случае отсутствия заявки снимается дополнительная комиссия в размере 0.10% от выдаваемой суммы.;translation_23;W
Certificate expired or not exist;Сертификат не найден или истек;Сертификат не найден или истек;login.certificateExpiredOrNotExist;W
New user warning;Предупреждение нового сотрудника;Предупреждение нового сотрудника;privilege_new_user_warning;W
Favorite widget view;Просмотр виджета избранное;Просмотр виджета избранное;privilege_favorite_widget_view;W

BirthDate;Дата рождения;Дата рождения;common_birthDate;W
documen_seria;Серия документа;Серия документа;common_documen_seria;W
Document number;Номер документа;Номер документа;common_document_number;W
Post index;Почтовый индекс;Почтовый индекс;common_post_index;W

Phone is empty;Телефон не заполнен;Телефон не заполнен;error_phone_is_empty;W
Password can not be equal to phone;Пароль не должен соответствовать телефону;Пароль не должен соответствовать телефону;error_password_equal_phone;W
Year or month or day is empty;Год или месяц или день рождения не заполненны;Год или месяц или день рождения не заполненны;error_birthday_empty;W
Password can not contain birthday;Пароль не может содержать в себе дату рождения;Пароль не может содержать в себе дату рождения;error_password_can_not_contain_birthday;W
Password can not be:;Пароль не может быть:;Пароль не может быть:;error_password_can_not_be;W
Login is empty;Логин не заполнен;Логин не заполнен;error_login_is_empty;W
Password can not be equal to login;Пароль и логин не должны совпадать;Пароль и логин не должны совпадать;error_password_can_not_be_equal_login;W
Password and password confirmation are different;Пароль и подтверждение пароля не одинаковы;Пароль и подтверждение пароля не одинаковы;error_password_and_confirmation_different;W
Forbidden for password words;Запрещенные для пароля слова;Запрещенные для пароля слова;property_FORBIDDEN_PWD_WORDS;W
Certificates for mobile;Сертификаты для мобильных;Сертификаты для мобильных;certificate_mobile_delivery;W
Create request;Создать запрос;Создать запрос;profile.createCertificateRequest;W
Sign request;Подписать запрос;Подписать запрос;profile.signCertificateRequest;W
Unsigned;Не подписан;Не подписан;common_unsigned;W
of the month;месяц;месяц;jobs.of_the_month_postfix;W
Open / Close CRON manual;Открыть / закрыть CRON - мануал;Открыть / закрыть CRON - мануал;cron_manual.open_close;W
CRON manual;CRON - мануал;CRON - мануал;cron_manual.title;W
Manual for correct cron setup;CRON - мануал для правильной настройки cron;CRON - мануал для правильной настройки cron;cron_manual.subtitle;W
Open CRON manual;Открыть CRON - мануал;Открыть CRON - мануал;cron_manual.open;W
Close CRON manual;Закрыть CRON - мануал;Закрыть CRON - мануал;cron_manual.close;W
CRON manually input;Ручной ввод CRON;Ручной ввод CRON;cron_manually_input.title;W
CRON manually input;Ручной ввод CRON;Ручной ввод CRON;cron_manually_input.subtitle;W
Enter CRON;Введите CRON;Введите CRON;cron_manually_input.enter_cron;W
Result CRON:;Результирующий CRON:;Результирующий CRON:;jobs.result_cron;W
back_to_login;назад к логину;назад к логину;back_to_login;W
Changing phone;Изменение телефона;Изменение телефона;personal_changingPhone;W
Back;Назад;Назад;common_back;W

Поле не может начинаться с нуля;Поле не может начинаться с нуля;Поле не может начинаться с нуля;error_can_not_start_zero;W
Поле должно быть 8 или 10 символов;Поле должно быть 8 или 10 символов;Поле должно быть 8 или 10 символов;error_wrong_tax_code;W
Дата регистрации документа;Дата регистрации документа;Дата регистрации документа;document_registration_date;W
Пояснительная информация;Пояснительная информация;Пояснительная информация;explanatoryInfo;W
Идент. код плательщика, за которого выполняется платеж;Идент. код плательщика, за которого выполняется платеж;Идент. код плательщика, за которого выполняется платеж;thirdPartyTaxCode;W
Код вида расчета;Код вида расчета;Код вида расчета;payment_code_type;W
Серия/№ паспорта;Серия/№ паспорта;Серия/№ паспорта;serial_passport_number;W
НДС;НДС;НДС;field_vat;W

Autopayment Rules;Правила автоавторизации платежей;Правила автоавторизации платежей;autopayment_rules;W
Denied Payments;Запрещенные платежи;Запрещенные платежи;deniedpayment_rules;W
Create Autopayment Rules;Создание Правила автоавторизации платежей;Создание Правила автоавторизации платежей;autopayment_rules_create;W
Edit Autopayment Rules;Редактирование Правила автоавторизации платежей;Редактирование Правила автоавторизации платежей;autopayment_rules_edit;W
Delete Autopayment Rules?;Удалить Правило автоавторизации платежей?;Удалить Правило автоавторизации платежей?;autopayment_rules_delete;W
Create Denied Payment Rules;Создание Правила запрещенных платежей;Создание Правила запрещенных платежей;denied_payment_rules_create;W
Edit Denied Payment Rules;Редактирование Правила запрещенных платежей;Редактирование Правила запрещенных платежей;denied_payment_rules_edit;W
Delete Denied Payment Rules?;Удалить Правило запрещенных платежей?;Удалить Правило запрещенных платежей?;denied_payment_rules_delete;W
Payer Account Mask;Маска счета плательщика;Маска счета плательщика;payer_account_mask;W
Recipient Account Mask;Маска счета получателя;Маска счета получателя;recipient_account_mask;W
Payment type;Тип платежа;Тип платежа;payment_type;W
internal;внутренний;внутренний;payment_type_internal;W
external;внешний;внешний;payment_type_external;W
Invalid account key;Неверный ключ счета;Неверный ключ счета;account_InvalidKey;W
Rule already existed;Правило уже существует;Правило вже існує;error.validation.accounts_pair.existed;W
Should be fulfilled all necessary translation fields;Должны быть заполнены все обязательные поля;Повинні бути заповнені всі обов'язкові поля;error.validation.all_necessary_fields;W
in;в;в;common.in;W
Your personal manager;Ваш персональный менеджер;Ваш персональний менеджер;chat.your_manager;W
is typing;печатает;друкує;chat.typing;W
Enter message;Введите текст сообщения;Введіть текст повідомлення;chat.enter_message;W
Edit day;Редактирование дня;Редагування дня;calendar_EditDay;W
Editing a calendar;Редактирование календаря;Редагування календаря;calendarEditing;W
Creating a calendar;Создание календаря;Створення календаря;calendarCreating;W
Monday;Понедельник;Понедельник;common.monday;W
Tuesday;Вторник;Вторник;common.tuesday;W
Wednesday;Среда;Среда;common.wednesday;W
Thursday;Четверг;Четверг;common.thursday;W
Friday;Пятница;Пятница;common.friday;W
Saturday;Субота;Субота;common.saturday;W
Sunday;Воскресенье;Воскресенье;common.sunday;W
Execution date;Дата выполнения;Дата выполнения;execution_date;W
Execution week day;День недели выполнения;День недели выполнения;execution_week_day;W
Execution month day;День ежемесячного выполнения;День ежемесячного выполнения;execution_month_day;W
Проверка на операционное время;Проверка на операционное время;Проверка на операционное время;operation_time;W
Вы отправляете документ в послеоперационное время. Согласно п.5.1.6 Тарифов за рассчетно-кассовое обслуживание клиентов ПАО "Альфа-Банк", за обработку данного документа предусмотрена дополнительная комиссия;Вы отправляете документ в послеоперационное время. Согласно п.5.1.6 Тарифов за рассчетно-кассовое обслуживание клиентов ПАО "Альфа-Банк", за обработку данного документа предусмотрена дополнительная комиссия;Вы отправляете документ в послеоперационное время. Согласно п.5.1.6 Тарифов за рассчетно-кассовое обслуживание клиентов ПАО "Альфа-Банк", за обработку данного документа предусмотрена дополнительная комиссия;error_after_operation_time;W
Opened;Открытый;Відкритий;ps_Active;W
Blocked;Заблокирован;Заблокований;ps_Blocked;W
