en;ru;kk;translation_key
Forgot your password;Забыли пароль;Құпиясөзді ұмыттыңыз;login_forgot
Password reset;Восстановление пароля;Құпиясөзді қалпына келтіру;login_recovery
Show all;Показать все;Барлығын көрсету;common_show_all
Search by beneficiary's details;Поиск по реквизитам получателя;Алушы деректемелері бойынша іздеу;search_benefDetails
Require SMS at the entrance;Требовать СМС при входе;Кіргенде СМС сұрау;personal_smsrequire
Information about the bank;Информация о банке;банк туралы ақпарат;footer_bankInfo
Bank details;Реквизиты банка;Банк деректемелері;footer_requisites
Licenses and solutions;Лицензии и решения;Лицензиялар мен рұқсаттар;footer_licence
Reporting;Отчетность;Есептілік;footer_accountability
Monetary transactions;Денежные операции;Ақшалай операциялар;navigation_transactions
Payments in national currency;Платежи в нац. валюте;Ұлт. валютадағы төлемдер;navigation_payments_expo
Payments in foreign currency ;Платежи в ин. валюте;Шет. валютамен төлемдер;navigation_intTransfers_expo
Conversions;Конвертации;Конвертациялар;navigation_conversion_expo
The total length of the following fields of the Recipient;Суммарная длина следующих полей Получателя;Алушының келесі жолдарының сомалық ұзындығы;field_total_length
can not exceed 140 characters;не должна превышать 140 символов;140 белгіден артық болмауы тиіс;should_not_exceed_140
Opening an Account;Открытие Счета;Шот ашу;OpenAccount
Issuing loan;Выдача займа;Қарыз беру;OpenCredit
Early loan repayment;досрочное погашение кредита;несиені мерзімінен бұрын өтеу;CloseCredit
Cards issuance;выпуск карты;картаны шығару;CreateCard
Card re-issue;Перевыпуск карты;Картаны қайташығару;ReCreateCard
Name in English;Наименование Английское;Атауы Ағылшын;common.nameEn
Name in Russian;Наименование Русское;Атауы Орысша;common.nameRu
Name in Kazakh;Наименование Казахское;Атауы Қазақша;common.nameKK
Repeat sending;Повторить отправку;Жөнелтуді қайталау;resend_sms
IIN;ИИН;ЖСН;paymentOrder_payerCode_expo
It is forbidden to cancel publication if there are already created applications in the database;Запрещена отмена публикации если уже есть созданные заявления в базе;Егер база жасалған өтініштер ендіге бар болса, жариялауды болдырмауға тыйым салынған;customRequestType.unpublishedError
Here will be  the text of the agreement, a multi-line part;Здесь будет находится текст соглашения, многострочная часть;Бұл жерде келісімнің мәтіні бар, көп жолды бөлік;translation_18
Change in the amount of payment with preservation of the loan term- Change in the loan term with preservation of repayment amount;Изменение суммы выплаты с сохранением срока займа-Изменение срока займа с сохранением суммы выплаты;Қарыз мерзімін сақтаумен төлеу сомасын өзгерту - Төлеу сомасын сақтаумен қарыз мерзімін өзгерту;translation_19
BIN/IIN/IIN;БИН/ИИН/ИНН;БСН/ЖСН/ССН;intTransfer_payerCode
Closing of account is possible only in the absence of funds on this account;Закрытие счета возможно только при отсутствии денежных средств на счете;Шотты жабу шотта ақша қаражаттары болмаған кезде ғана мүмкін;translation_20
Confirmation of agreement with terms of deposit opening;Подтверждение о согласии с условиями открытия вклада;Салым ашу шарттарына келісімі туралы растау;translation_21
Confirmation of  agreement with  terms of issue of the card;Подтверждение о согласии с условиями выпуска карты;Карта шығару шарттарына келісімі туралы растау;translation_22
The application for cash in the cash desk is submitted for one working day (transaction day). In the absence of an application, an additional fee of 0.10% of the issued amount is withdrawn.;Заявление на получение наличности в кассе подается за один рабочий (операционный день). В случае отсутствия заявки снимается дополнительная комиссия в размере 0.10% от выдаваемой суммы.;Заявление на получение наличности в кассе подается за один рабочий (операционный день). В случае отсутствия заявки снимается дополнительная комиссия в размере 0.10% от выдаваемой суммы.;translation_23
Connection error. Check if the necessary software is installed to work with EDS;Ошибка подключения. Проверьте установлено ли необходимое программное обеспечение для работы с ЭЦП;Қосу қатесі. ЭСҚ-мен жұмыс үшін қажетті бағдарламалық жасақтаманың орнатылғанын тексеріңіз;socket_closed
Search by recipient;Поиск по получателю;Алушы бойынша іздеу;search_receiver_asia
Transfer between accounts;Перевод между счетами;шоттар арасындағы аударым;actions_transfer
Conversion;Конвертация;Конвертация;actions_conversion
CHF;Швейцарский франк;Швейцария франкі;currency_frank
Meaning in several languages;Значение на нескольких языках;Бірнеше тілдегі мәні;multilanguage_value_label
One of the values ​​for localization is empty;Одно из значений для локализации не заполнено;Оқшаулауға арналған мәндердің бірі толтырылмаған;constant.validation.multi.value.empty
Contracts (Agreements);Контракты;Келісім-шарттар;contracts
Work time starting;Время начала работы;Жұмыстың басталу уақыты;start_time
Work time completion;Время окончания работы;Жұмыстың аяқталу уақыты;end_time
Break time starting ;Время начала перерыва;Үзілістің басталу уақыты;break_start_time
Break time completion;Время окончания перерыва;Үзілістің аяқталу уақыты;break_end_time
Task active;Задача активна;Тапсырма белсенді;isActive
Mo;Пн;Дс;short_MONDAY
Tu;Вт;Сс;short_TUESDAY
Wd;Ср;Ср;short_WEDNESDAY
Thu;Чт;Бс;short_THURSDAY
Fr;Пт;Жм;short_FRIDAY
St;Сб;Сб;short_SATURDAY
Su;Вс;Жк;short_SUNDAY
Days-off;Нерабочие дни;Жұмыс емес күндер;days_off
The size of the number exceeds the allowed value;Размер числа превышает допустимое значение;Санның мөлшері жол берілетін мәннен артық;error_toLongField
Enter the date in following format: 31.12.2017;Введите дату в следующем формате 31.12.2017;Келесі пішімде күнді енгізіңіз 31.12.2017;set_date_in_format
Bank code;Код банка;Банктің коды;bankCode
Mandatory field at payment amount exceeding or equal to  10,000 USD;Обязательное поле при сумме платежа большей или равной 10 000$;10 000$ артық немесе тең төлем сомасындағы міндетті жол;required_field_10000
The specified beneficiary account does not correspond to the selected bank. Bank code;Указанный счет получателя не соответствует выбранному банку. Код банка;Алушының көрсетілген шоты таңдалған банкіге сәйкеспейді. Банк коды;account_error_string1
5-7 account symbols should be-;5-7 символы счета должны быть -;5-7 шот символдары болуы тиіс - ;account_error_string2
Template saved successfully;Шаблон успешно сохранен;Шаблон сәтті сақталды;template_saved
Saving a template;Сохранение шаблона;Шаблонды сақтау;template_saving
Fill  in the message template for the channel;Заполните шаблон сообщения для канала;Арна үшін хабарлама шаблонын толтырыңыз;notificationtype_messagetextempty
Save;Сохранить;Сақтау;common_updateDocument
Invoice to customers ;Выставленные клиентам счета;Клиенттерге ұсынылған шоттар;manager_exposedOrder
Planned balance;Плановый остаток;Жоспарлы қалдық;common_planBalance
Value (one of the values) is invalid;Значение(одно из значений) заполнено неверно;Мәні (мәндердің біреуі) дұрыс толтырылмаған;constant.validation.multi.value.invalid
VAT;НДС;ҚҚС;VAT_CODE
National currencies;Национальные валюты;Ұлттық валюта;CURRENCY_CODE
PCO token synchronization window;Окно синхронизации ОТП токена;Токен ОТП синхрондау терезесі;LOOK_AHEAD_RESYNCHRONIZATION_WINDOW
Password length of  token technical support department ;Длина пароля ОТП токена;Токен ОТП құпиясөзінің ұзындығы;OTP_TOKEN_LENGTH
Maximum number of incorrect PCO token attempts;Максимально количество неверных попыток ОТП токена;ОТП токеннің дұрыс емес әрекеттерінің максималды саны;INCORRECT_ATTEMPTS
Full name;Полное наименование;Толық атауы;FULL_BANK_NAME
Abbreviated name;Сокращённое наименование;Қысқартылған атауы;SHORT_BANK_NAME
BIC;БИК;БСК;property_BIK
BIN;БИН;БСН;property_BIN
Beneficiary Code;КБЕ;КБЕ;property_KBE
General Classifier of Enterprises and Organizations;Код ОКПО;КҰЖЖ коды;property_OKPO_CODE
Юридический адрес;Юридический адрес;Юридический адрес;property_BANK_ADDRESS
minimum login length;минимальная длина логина;логинның минималды ұзындығы;property_MIN_LOGIN_LENGTH
maximum login length;максимальная длина логина;логинның максималды ұзындығы;property_MAX_LOGIN_LENGTH
minimum password length;минимальная длина пароля;құпиясөздің минималды ұзындығы;property_MIN_PWD_LENGTH
maximum password length;максимальная длина пароля;құпиясөздің максималды ұзындығы;property_MAX_PWD_LENGTH
required characters for the password;требуемые символы для пароля;құпиясөз үшін сұралатын белгілер;property_ALLOWED_PWD_SYMBOLS
Password history depth;глубина истории паролей;құпиясөздердің тарихы тереңдігі;property_PWD_HISTORY_DEEP
Number of incorrect password attempts;колличество неверных попыток паролей;Құпиясөздердің дұрыс емес әрекеттері саны ;property_PWD_INCORRECT_ATTEMPTS
Password expiration date;Срок действия пароля;Құпиясөз әрекетінің мерзімі;property_PWD_LIFE
Number of days till notification of the user on the expiry of password;колличество дней до уведомления пользователя об окночании срока пароля;пайдаланушыға құпиясөздің мерзімінің аяқталуы туралы хабарландырғанға дейінгі күндер саны;property_PWD_NOTIFICATION
File type;Тип файла;Файл типі;property_FILE_TYPE
File size Mb;Размер файла Мб;Файл мөлшері МБ;property_FILE_SIZE
Duration of session, with;Продолжительность сессии, c;Сессия ұзақтығы, бастап;property_SESSION_TIME
Profile;Profile;Profile;property_PROFILE
ProfilePassword;ProfilePassword;ProfilePassword;property_PROFILE_PASSWORD
ManagerSN;ManagerSN;ManagerSN;property_KEY_SERIAL_NUMBER
Number of sessions;Количество сессий;Сессиялар саны;property_SESSION_AMOUNT
Default tariff;Default tariff;Default tariff;property_DEFAULT_TARIFF
Body size of the letter;Размер тела письма;Хат денесінің өлшемі;property_LETTER_BODY_SIZE
Duration of news applicability;Длительность актуальности новости;Өзекті жаңалықтар ұзақтығы;property_NEWS_ACTUALITY
The period for the valuation of payments (maximum number of days);Период валютирования платежей (максимальное колличество дней);Төлемдерді валюталау кезеңі (максималды күндер саны);property_MAX_VALUE_DAYS
URL Buses of the Bank;URL шины банка;банк шинасының URL;property_INTEGRATION_ABS_URL
Login access to the bank bus;Логин доступа к шине банка;Банктің шинасына қол жеткізу логины;property_INTEGRATION_ABS_LOGIN
Password for access to the bank bus;Пароль доступа к шине банка;Банк шинасына қолжеткізу құпиясөзі;property_INTEGRATION_ABS_PASSWORD
SMS code expiration date;Срок действия смс-кода;Смс-код әрекетінің мерзімі;property_SMS_VALID_PERIOD
The message about the receipt of the code for entering the Internet banking;Сообщение о получении кода для входа в интернет-банкинг;Интернет-банкингке кіретін код алғаны туралы хабарлама;translation_27
Message about the receipt of the code to confirm the document;Сообщение о получении кода для подтверждения документа;Құжатты растау үшін код алғаны туралы хабарлама;translation_28
Message about the receipt of code to confirm the change of password;Сообщение о получении кода для подтверждения смены пароля;Құпиясөзді ауыстырғанын растау үшін код алғаны туралы хабарлама ;translation_29
Fixed PDC in currency conversion (purchase of currency);Фиксированый КНП при конвертации валюты (покупка валюты);Валютаны конвертациялағандағы тыянақталған КНП (валюта сатып алу);translation_30
Fixed PDC in currency conversion (currency sale);Фиксированый КНП при конвертации валюты (продажа валюты);Валютаны конвертациялағандағы тыянақталған КНП (валюта сату);translation_31
Fixed purpose of payment for internal payments (transfer from account to account in the same currency);Фиксированое назначение платежа при внутренних платежах (перевод со счета на счет в одной валюте);Ішкі төлемдердегі төлемнің тыянақталған арналамы (бір валютамен шоттан шотқа аудару);translation_32
SMS code expiration date;Срок действия смс-кода;Смс-код әрекетінің мерзімі;translation_33
SMPP HOST;SMPP HOST;SMPP HOST;translation_34
SMPP PORT;SMPP PORT;SMPP PORT;translation_35
SMPP USER;SMPP USER;SMPP USER;translation_36
SMPP PASSWORD;SMPP PASSWORD;SMPP PASSWORD;translation_37
SMPP TON;SMPP TON;SMPP TON;translation_38
SMPP NPI;SMPP NPI;SMPP NPI;translation_39
Blocking time;Время блокировки;Бұғаттау уақыты;property_USER_BLOCK_TIME
Your Data account is blocked by the bank manager. For details contact the bank;Ваша учетная запись была заблокирована администратором банка. Для уточнения деталей обратитесь в банк.;Сіздің есеп жазбаңыз банк әкімшісімен бұғатталған. Егжей-тегжейлерін нақтылау үшін банкке жүгініңіз.;login.adminBlock
Login should not be from the list;Логин не должен быть из списка;Логин тізімнен болмауы тиіс;errorLoginFromList
The number of incorrect passwords was exceeded! Your account has been temporarily suspended!;Превышено колличество ввода неверных паролей! Ваша учетная запись временно заблокирована!;Дұрыс емес құпиясөздер санын енгізу санынан асып кетті! Сізің есептік жазбаңыз уақытша бұғатталды!;login_morePass
The combination of characters does not match the password policy;Комбинация символов не соответствует парольной политике;Символдардың комбинациясы құпиясөз саясатына сәйкес келмейді;passPolicy
No more than 2 consecutive symbols;Не более 2-х повторяющихся подряд символов;Қатарынан 2 қайталанатын белгіден артық емес;passSequence
No more than 2 consecutive characters;Не более 2-х последовательных символов;Бірінен соң бірі 2 белгіден артық емес;passSeq2
Login and password should not be the same;Логин и пароль не должны совпадать;Логин мен құпиясөз сәйкес келмеуі тиіс;passNotTheSame
Password should be less;Пароль должен быть меньше;Құпиясөз кішірек болуы тиіс;passLessPass
Password should be longer than;Пароль должен быть больше;Құпиясөз үлкенірек болуы тиіс;passMorePass
The sender was not found with IIN;Отправитель не найден с ИИН;ЖСН-нен жөнелтуші табылған жоқ;mt_sender_invalid_inn
Value date should be more or equal to current date;дата валютирования должна быть больше или равна текущей дате;валюталау күні ағымдағы күннен артық немесе тең болуы тиіс;mt_invalid_value_date
MT100: invalid PSO;МТ100: неверный PSO;МТ100: дұрыс емес PSO;mt_invalid_pso
MT100: invalid VO;МТ100: неверный VO;МТ100: дұрыс емес VO;mt_invalid_vo
Cash currency shound be KZT;валюта денег должна быть KZT;ақша  валютасы КZT болуы тиіс;mt_invalid_currency
Is not owned by the customer with IIN;не пренадлежыт кастомеру с ИИН;ЖСН бар кастомеріне тиесілі емес;acc_not_for_inn
the total amount does not match;итоговая сумма не совпадает;қорытынды сома сәйкес келмейді;mt_invalid_result_amount
The structure is disrupted;Нарушена структура;Құрылымы бұзылды;mt_invalid_structure
Can not use recent;Невозможно использовать последние;Соңғыларды пайдалану мүмкін емес;passDepth
Passwords;паролей;құпиясөздердің;passDepthPass
Create a password;Создание пароля;Құпиясөз жасау;login_passCreation
Branch in Atyrau;Филиал в г.Атырау;Атырау қ. филиал;sp_Branch_Atyrau
Branch in Astana;Филиал в г.Астана;Астана қ. филиал;sp_Branch_Astana
Branch in Almaty;Филиал в г.Алматы;Алматы қ. филиал;sp_Branch_Almaty
Transfers for application type;Переводы для тип заявления;Өтініш типіне арналған аударымдар;translation_for_type_document
Completed;Завершенная;Аяқталған;ct_Completed
Blocked;Заблокированная;Бұғатталған ;ct_Blocked
Client;Клиент;Клиент;events_client
User ID;Идентификатор пользователя;Пайдаланушы сәйкестендіргіші;events_login
The purchase rate cannot be equal to sales rate;Курс покупки не может быть равен курсу продажи;Сатып алу бағамы сату бағамына тең болмайды;exchangeRate.equal.amount
ExchangeRateDTO is null;ExchangeRateDTO is null;ExchangeRateDTO is null;exchangeRateDTO.null
Remove vidget settings;Удалить настройки виджетов;Виджеттер баптауын алып тастау;clear_orders_settings
Subject size of the message;Размер темы письма;Хат тақырыбының өлшемі;translation_43
Internal error! Try to send the message later;Внутренняя ошибка! Попробуйте отправить письмо позже;Ішкі қате! Хатты кешірек жіберіп көріңіз;message_sending_error
Edit account;Редактировать аккаунт;Акаунтты редакциялау;privilege_account_edit
Mailing group;Группы рассылки;Жіберу топтары;mailing_groups
Postal correspondence;Почтовая переписка;Пошталық хат алмасу;mailing_correspondence
Bulk mailing;Массовая рассылка;Жаппай жіберу;mass_mailing
Clients;Клиенты;Клиенттердің өтініштері;clients
Edit e-mail;Редактировать письмо;Хатты редакциялау;letter_edit
Reply to message;Ответить на письмо;Хатқа жауап беру;letter_reply
View of correspondence;Просмотр переписки;Хаталмасуды қарау;letter_chain_view
Viewing/Editing;Просмотр/Редактирование;Қарау / Редакциялау;letter_view_edit
Name of Sender;Наименование Отправителя;Жіберушінің атауы;sender_name
Sender's account;Счет Отправителя;Жөнелтуші шоты;sender_acc
Name of recipient;Наименование получателя;Алушының атауы;receiver_name
Customer's ID ABS;ID клиента АБС;АБС клиентінің ID;abs_client_id
Should not contain;Не должно содержать;болмауы тиіс;should_not_contain
Download of cards;Загрузка карт;Карталарды жүктеу;translation_45
All statuses;Все статусы;Барлық мәртебелер;user_status_all
New;Новые;Жаңалар;user_status_new
Waiting for signature;Ожидающие подписания;Қол қоюды күтетіндер;user_status_awaits_signature
Waiting for sending;Ожидающие отправку;Жіберуді күтетіндер;user_status_waiting
In processing;В обработке;Өңдеуде;user_status_in_work
Executed;Исполненые;Орындалғандар;user_status_executed
Recalled;Отозванные;Кері шақыртылғандар;user_status_revoked
Containing errors;Содержащие ошибки;қате мазмұны;user_status_with_errors
Signed;Подписан;Қол қойылды;state_signed
Draft;Черновик;Жоба-жазбалар;state_draft
Waiting for signature;Ожидает подписи;Қол қоюды күтуде;state_awaitssignature
Deleted;Удалён;Алып тасталды;state_deleted
Sent to RBS;Отправлен в ДБО;ЕБҰ-ға жөнелтілгендер ;state_senttorbs
Adopted in RBS;Принят в ДБО;ЕБҰ-на қабылдау;state_acceptedinrbs
Accepted in ABS;Принят в АБС;АБЖ-не қабылдау;state_acceptedinabs
Not accepted in ABS;Не принят в АБС;АБЖ-не қабылданған жоқ;state_notacceptedinabs
Recalled;Отозван;Кері шақыртылды;state_revoked
Recalled;Отозван;Кері шақыртылды;state_paid
Refused;Отказан;Бас тартылды;state_refused
Executed;Исполнен;Орындалды;state_executed
Accepted;Принят;Қабылдау;state_accepted
For payment;К оплате;Төлеуге;state_pay
Repayment from the payee's bank;Возврат от банка получателя;Алушының банкінен қайтару;state_return
Sent to the bank;Отправленные в банк;Банкке жөнелтілгендер;user_status_sendtobank
All types;Все типы;Барлық типтер;common_allTypes
Card statement;Выписка по картам;Карталар бойынша үзінді көшірме;translation_40
Download of loans;Загрузка кредитов;Кредиттерді  жүктеу;translation_41
Download of enterprises (organizations);Загрузка организаций;Ұйымдарды жүктеу;translation_42
Event ID;ИД события;Оқиғаның СД;event_id
Download of local banks;Загрузка локальных банков;Жергілікті банктерді жүктеу;job_LOCAL_BANK
Download of foreign banks;Загрузка иностранных банков;Шетелдік банктерді жүктеу;job_BANK
Download of payment destination codes;Загрузка кодов назначения платежа;Төлемнің белгілену кодтарын жүктеу;job_PAYMENT_CODE
Download of budget classification codes;Загрузка кодов бюджетной класификации;Бюджеттік жіктеу кодтарын жүктеу;job_BUDGET_CLASSIFICATION_CODE
Operation;Описание;Сипаттау;common_operation_desc
Place of birth;Место рождения;Туған жері;person_birth_place
Passport Number;Номер паспорта;Паспорт нөмірі;person_passport_number
Passport continuity date;Дата начала действия пасспорта;Төлқұжаттың әрекетінің басталу күні;person_passport_start_date
Passport expiry date;Дата окончания действия пасспорта;Төлқұжаттың әрекетінің аяқталу күні;person_passport_end_date
Place of passport issue;Место выдачи пасспорта;Төлқұжатты беру орны;place_passport_issue
Sex (Gender);Пол;Жыныс;gender
Male;Мужской;Еркек;Male
Female;Женский;Әйел;Female
Account statement depth (days);Глубина выписки по счету (дни);Шот бойынша үзінді көшірме тереңдігі (күндер);account_stm
Card statement depth (days);Глубина выписки по карте (дни);Карта бойынша үзінді көшірме тереңдігі (күндер);card_stm
A customer with such a BIN / IIN was not found;Клиент с таким БИН/ИИН не найден;Мұндай БСН/ЖСН-мен клиент табылмады;bin_not_found
Add category;Добавить категорию;Санатты қосу;provider_service_add_category
Service categories;Категории услуг;Қызмет санаттары;provider_service_categories
Name;Наименование;Атауы;provider_service_name
Full name;Полное наименование;Толық атауы;provider_service_full_name
Code;Код;Код;provider_service_full_code
Create category;Создать категорию;Санат жасау;provider_service_create_category
Edit Category;Редактировать Категорию;Санатты редакциялау;provider_service_edit_category
Top-level category;Категория верхнего уровня;Жоғарғы деңгей санаты;provider_service_upper_category
Payment services;Платежные услуги;Төлеу қызметтері;provider_service_payment_services
Web scraping tools of services ;Агрегаторы услуг;Қызмет агрегаторлары;provider_service_providers
Add an aggregator;Добавить Агрегатор;Агрегаторды қосу;provider_service_add_provider
Create aggregator;Создать Агрегатор;Агрегатор жасау;provider_service_create_provider
Edit Aggregator;Редактировать Агрегатор;Агрегаторды редакциялау;provider_service_edit_provider
The services;Услуги;Қызметтер;provider_service_services
Add service;Добавить услугу;Қызметті қосу;provider_service_add_service
Field name;Название поля;Жолдың атауы;provider_service_field_name
Hint;Хинт;Хинт;provider_service_hint
Field mask;Маска поля;Жолдың маскасы;provider_service_field_mask
Regular expression;Регулярное выражение;Тұрықты өрнек;provider_service_regex
field type;тип поля;Жол типі;provider_service_field_type
Link to the directory;Ссылка на справочник;Анықтамалыққа сілтеме;provider_service_ref_to_dict
Min field value;Мин значение поля;Жолдың мин мәні;provider_service_min_field_value
Max field value;Макс значение поля;Жолдың макс мәні;provider_service_max_field_value
Field index;Индекс поля;Жолдың индексі;provider_service_field_index
Create a service;Создание услуги;Қызмет жасау;provider_service_create_service
Editing a service;Редактирование услуги;Қызметтерді редакциялау;provider_service_edit_service
Category name  ;Название категории;Санаттың атауы;provider_service_category_name
Provider name;Название провайдера;Провайдердің атауы;provider_service_provider_name
Maximum payment amount;Максимальная сумма платежа;Төлемнің максималды ұзындығы;provider_service_max_amount
Minimum payment amount;Минимальная сумма платежа;Төлемнің минималды сомасы;provider_service_min_amount
Amount of commission;Размер комиссии;Комиссия мөлшері;provider_service_commission_amount
Link to the file with the service logotype;Ссылка на файл с логотипом усдуги;Қызмет логотипі бар файлға сілтеме;provider_service_logo_reference
List of regions;Список регионов;Аймақтар тізімі;provider_service_regions_list
List of cities;Список городов;Қалалар тізімі;provider_service_cities_list
Payment template;Шаблон назначения платежа;Төлем арналымы шаблоны;provider_service_purpose_template
Add field;Добавить поле;Жолды қосу;provider_service_add_field
Address of OCSP server;Адрес OCSP сервера;OCSP серверінің мекенжайы;property_EDS_URL_OCSP
Address of LDAP server;Адрес LDAP сервера;LDAP серверінің мекенжайы;property_EDS_URL_LDAP
Address of WebRA server;Адрес WebRA сервера;WebRA серверінің мекенжайы;property_EDS_URL_WEBRA
Default device type;Тип устройства по-умолчанию;Үнсіздік бойынша құрылғы типі;property_EDS_DEFAULT_DEVICE
Default Profile;Профиль по-умолчанию;Үнсіздік бойынша профиль;property_EDS_DEFAULT_PROFILE
Phone number for sending password is not found!;Номер телефона для отправки пароля не найден!;Құпиясөз жіберетін телефон нөмірі табылған жоқ!;phone_notFound
Address where all provider services logos are stored;Адрес где хранятся все логотипы услуг провайдеров;Провайдерлердің қызметтерінің барлық логотиптері сақталатын мекенжай;property_service_constant_logo_url
Authorization is impossible. Try again in 5 minutes ;Авторизация не возможна. Попробуйте через 5 минут.;Авторлау мүмкін емес. 5 минуттан кейін байқап көріңіз.;smsSenderError
Download of types of identity documents;Загрузка типов документов удостоверяющих личность;Жеке басын куәландыратын құжаттардың типтерін жүктеу;job_DOCUMENT_IDENTITY
Subsidiary VTB Bank Joint-Stock Company (Kazakhstan);Дочерняя организация Акционерное общество Банк ВТБ (Казахстан);Банк ВТБ (Қазақстан) Акционерлік қоғамы Еншілес ұйымы;VTB_FULL_BANK_NAME
To VTB Bank JSC (Kazakhstan);ДО АО Банк ВТБ (Казахстан);Банк ВТБ АҚ ЕҰ (Қазақстан);VTB_SHORT_BANK_NAME
Template name cannot be empty;Имя шаблона не может быть пустым;Шаблонның аты бос болмауы тиіс;document_templateNameIsNotNull
Export to MT;Экспорт в МТ;МТ-ға экспорт;export_mt
Exported in MT format (douments):;Експортировано в формате МТ (документов):;МТ пішімінде экспортталды (құжаттар):;export_mt_result
Invalid length of field;Неправильная длина поля;Жол ұзындығы дұрыс емес;wrong_length
Login code: {0}. Do not tell anyone the code!;Kod dlya vhoda: {0}. Nikomu ne govorite kod!;Kod dlya vhoda: {0}. Nikomu ne govorite kod!;login.newPasswordSMS
Document confirmation. Verification code: {0}. Do not tell anyone the code!;Podtverzhdenie dokumenta. Kod podtverzhdeniya: {0}. Nikomu ne govorite kod!;Podtverzhdenie dokumenta. Kod podtverzhdeniya: {0}. Nikomu ne govorite kod!;document_confirmationSMS
Confirmation of {0} documents. Verification code: {1}. Do not tell anyone the code!;Podtverzhdenie {0} dokumentov. Kod podtverzhdeniya: {1}. Nikomu ne govorite kod!;Podtverzhdenie {0} dokumentov. Kod podtverzhdeniya: {1}. Nikomu ne govorite kod!;document_confirmationSMSgroup
Standing order template;Шаблон длительного поручения;Ұзақ уақыттық тапсырма шаблоны;state_standing
Indefined;Неопределен;Анықталмаған;ps_Undefined
Overdue;Просроченный;Мерзімі өтіп кеткен;ps_Overdue
THE BANK OF NEW YORK MELLON;THE BANK OF NEW YORK MELLON;THE BANK OF NEW YORK MELLON;VTB_USD_CORRESPONDENT_BANK_1
JSC VTB Bank, Moscow, Russia;JSC VTB Bank, Moscow, Russia;JSC VTB Bank, Moscow, Russia;VTB_USD_CORRESPONDENT_BANK_2
VTB Bank (Deutschland) AG, Frankfurt am Main;VTB Bank (Deutschland) AG, Frankfurt am Main;VTB Bank (Deutschland) AG, Frankfurt am Main;VTB_EUR_CORRESPONDENT_BANK_1
THE ROYAL BANK OF SCOTLAND, LONDON;THE ROYAL BANK OF SCOTLAND, LONDON;THE ROYAL BANK OF SCOTLAND, LONDON;VTB_GBP_CORRESPONDENT_BANK_1
VTB Bank (Deutschland) AG, Frankfurt am Main;VTB Bank (Deutschland) AG, Frankfurt am Main;VTB Bank (Deutschland) AG, Frankfurt am Main;VTB_GBP_CORRESPONDENT_BANK_2
VTB Bank (PJSC), Moscow, Russia;Банк ВТБ (ПАО), Москва, Россия;Банк ВТБ (ЖАҚ), Мәскеу, Ресей;VTB_RUB_CORRESPONDENT_BANK_1
BANK ICBC (JSC), MOSCOW;BANK ICBC (JSC), MOSCOW;BANK ICBC (JSC), MOSCOW;VTB_CNY_CORRESPONDENT_BANK_1
JSC VTB Bank, Moscow, Russia;JSC VTB Bank, Moscow, Russia;JSC VTB Bank, Moscow, Russia;VTB_CNY_CORRESPONDENT_BANK_2
CITIGB2L Citibank N.a., LONDON;CITIGB2L Citibank N.a., LONDON;CITIGB2L Citibank N.a., LONDON;VTB_AUD_CORRESPONDENT_BANK_1
JSC VTB Bank, Moscow, Russia;JSC VTB Bank, Moscow, Russia;JSC VTB Bank, Moscow, Russia;VTB_AUD_CORRESPONDENT_BANK_2
AUD;Австралийский доллар;Австралиялық доллар;currency_aud
Cellular and satellite communication;Сотовая и спутниковая связь;Ұялы және жерсеріктік байланыс;cellular_communication
Cellular and satellite communication;Сотовая и спутниковая связь;Ұялы және жерсеріктік байланыс;cellular_communication_full
Utility payments;Коммунальные платежи;Коммуналдық төлемдер;communal_payments
Utility payments;Коммунальные платежи;Коммуналдық төлемдер;communal_payments_full
TV;Телевидение;Теледидар;tv
TV;Телевидение;Теледидар;tv_full
TV and Internet;Телевидение и интернет;Теледидар және интернет;tv_and_internet
TV and Internet;Телевидение и интернет;Теледидар және интернет;tv_and_internet_full
Internet and IP telephony;Интернет и IP телефония;Интернет және IP телефония;internet_and_ip
Internet and IP telephony;Интернет и IP телефония;Интернет және IP телефония;internet_and_ip_full
Advertising and security;Реклама и охрана;Жарнама және күзет;security_services
Advertising and security;Реклама и охрана;Жарнама және күзет;security_services_full
Games Online;Игры Online;Online Ойындар;online_games
Games Online;Игры Online;Online Ойындар;online_games_full
Charity;Благотворительность;Қайырымдылық;charity
Charity;Благотворительность;Қайырымдылық;charity_full
Penalties for violation of traffic rules;Штрафы за нарушение ПДД;ЖҚЕ бұзғаны үшін айыппұл;traffic_fines
Penalties for violation of traffic rules;Штрафы за нарушение ПДД;ЖҚЕ бұзғаны үшін айыппұл;traffic_fines_full
Educational services;Обозовательные услуги;Білім беру қызметі;educational_services
Educational services;Обозовательные услуги;Білім беру қызметі;educational_services_full
Tickets, lotteries, tourism;Билеты, лотереи, туризм;Билеттер, лотереялар, туризм;tourism
Tickets, lotteries, tourism;Билеты, лотереи, туризм;Билеттер, лотереялар, туризм;tourism_full
Bookmaker's offices ;Букмекерские конторы;Букмекерлік кеңселер;bookmakers
Bookmaker's offices ;Букмекерские конторы;Букмекерлік кеңселер;bookmakers_full
Publishers, posting of advertisements;Издательства, размещение объявлений;Басылымдар, хабарландырулар орналастыру;publishers
Publishers, posting of advertisements;Издательства, размещение объявлений;Басылымдар, хабарландырулар орналастыру;publishers_full
